record_id,age,annual_income,credit_score,country,kyc_verified,requested_amount,employment_type,decision,rule_id,reason
R00028,42,650602,809,IN,FALSE,619865,salaried,review,R3,Generated rule
R00029,41,1496027,560,UK,FALSE,1082212,salaried,reject,R1,Generated rule
R00030,60,1059710,703,UK,FALSE,379043,salaried,reject,R2,Generated rule
R00031,33,288099,807,SG,TRUE,297237,unemployed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00032,56,1220290,558,SG,FALSE,303229,unemployed,reject,R1,Generated rule
R00033,61,1773113,361,SG,TRUE,131003,self_employed,reject,R1,Generated rule
R00034,32,213116,621,IN,TRUE,1128798,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00035,50,1903912,490,DE,FALSE,146381,salaried,reject,R1,Generated rule
R00036,74,1754124,858,US,FALSE,622890,unemployed,reject,R2,Generated rule
R00037,70,1237283,627,DE,TRUE,161856,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00038,73,1624766,452,UK,FALSE,1444293,salaried,reject,R1,Generated rule
R00039,19,812808,520,SG,FALSE,638616,unemployed,reject,R1,Generated rule
R00040,54,314498,694,DE,TRUE,267804,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00041,39,788275,532,UK,FALSE,883893,unemployed,reject,R1,Generated rule
R00042,46,1044745,482,UK,TRUE,511732,self_employed,reject,R1,Generated rule
R00043,66,721824,650,IN,TRUE,851878,salaried,review,R3,Generated rule
R00044,38,1291514,395,UK,FALSE,258011,salaried,reject,R1,Generated rule
R00045,33,1898161,782,US,FALSE,604668,self_employed,reject,R2,Generated rule
R00046,47,948959,887,US,FALSE,81016,self_employed,reject,R2,Generated rule
R00047,24,662770,754,DE,TRUE,1376659,unemployed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00048,62,1552761,559,UK,FALSE,80225,salaried,reject,R1,Generated rule
R00049,40,231238,878,UK,FALSE,142035,salaried,reject,R2,Generated rule
R00050,24,1870608,564,SG,TRUE,1174441,self_employed,reject,R1,Generated rule
R00051,57,1021727,475,US,TRUE,691182,salaried,reject,R1,Generated rule
R00052,20,1684010,710,US,TRUE,1041561,salaried,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00053,30,1424323,555,SG,TRUE,923180,salaried,reject,R1,Generated rule
R00054,28,434669,588,US,FALSE,736717,salaried,reject,R1,Generated rule
R00055,52,1215480,877,SG,FALSE,439905,salaried,reject,R2,Generated rule
R00056,43,1825933,346,DE,FALSE,493577,self_employed,reject,R1,Generated rule
R00057,61,1099445,624,DE,FALSE,620256,self_employed,reject,R2,Generated rule
R00058,56,1156596,863,IN,FALSE,115806,unemployed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00059,44,1806634,375,US,TRUE,577967,unemployed,reject,R1,Generated rule
R00060,70,1518639,353,IN,FALSE,556176,unemployed,reject,R1,Generated rule
R00061,20,728581,841,US,TRUE,913141,salaried,review,R3,Generated rule
R00062,31,1977345,843,US,TRUE,1040725,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00063,70,1387606,737,DE,TRUE,514109,self_employed,review,R3,Generated rule
R00064,31,680328,777,UK,TRUE,1242888,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00065,40,1025986,498,IN,FALSE,1376600,salaried,reject,R1,Generated rule
R00066,36,1750626,606,IN,FALSE,88671,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00067,33,857159,389,SG,TRUE,845092,unemployed,reject,R1,Generated rule
R00068,19,491638,860,IN,FALSE,129940,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00069,60,1542685,490,US,FALSE,378400,salaried,reject,R1,Generated rule
R00070,60,1370996,534,DE,FALSE,1224708,self_employed,reject,R1,Generated rule
R00071,56,1069180,613,DE,FALSE,66856,self_employed,reject,R2,Generated rule
R00072,44,1675405,624,IN,TRUE,1310970,unemployed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00073,68,777072,526,UK,TRUE,337043,unemployed,reject,R1,Generated rule
R00074,71,607823,614,IN,FALSE,512309,unemployed,review,R3,Generated rule
R00075,32,1114440,719,US,FALSE,1026284,salaried,reject,R2,Generated rule
R00076,51,214286,709,UK,TRUE,1220737,salaried,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00077,54,567167,779,SG,TRUE,912723,salaried,review,R3,Generated rule
R00078,58,186287,868,UK,FALSE,848652,unemployed,reject,R2,Generated rule
R00079,21,753860,529,US,FALSE,449429,self_employed,reject,R1,Generated rule
R00080,61,638384,429,UK,FALSE,1193393,unemployed,reject,R1,Generated rule
R00081,73,988970,463,SG,FALSE,720508,salaried,reject,R1,Generated rule
R00082,69,1840169,516,SG,TRUE,1325578,unemployed,reject,R1,Generated rule
R00083,51,186109,312,SG,FALSE,192319,self_employed,reject,R1,Generated rule
R00084,62,229169,382,IN,FALSE,1008706,unemployed,reject,R1,Generated rule
R00085,67,1175370,769,SG,TRUE,142326,unemployed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00086,60,1899950,317,SG,TRUE,142537,self_employed,reject,R1,Generated rule
R00087,39,450346,844,DE,FALSE,1284157,self_employed,reject,R2,Generated rule
R00088,31,1328536,767,UK,TRUE,712253,unemployed,review,R3,Generated rule
R00089,32,807306,738,IN,TRUE,985340,salaried,review,R3,Generated rule
R00090,60,653529,726,US,TRUE,533195,self_employed,review,R3,Generated rule
R00091,25,845341,830,UK,FALSE,236305,salaried,reject,R2,Generated rule
R00092,61,1349090,719,US,TRUE,725749,salaried,review,R3,Generated rule
R00093,59,655319,817,DE,TRUE,798174,unemployed,review,R3,Generated rule
R00094,40,1442371,436,US,FALSE,295949,unemployed,reject,R1,Generated rule
R00095,23,378711,304,UK,TRUE,1145425,salaried,reject,R1,Generated rule
R00096,75,1157616,855,SG,TRUE,267798,unemployed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00097,59,1310231,414,UK,FALSE,529197,salaried,reject,R1,Generated rule
R00098,23,1848213,875,US,TRUE,1209243,salaried,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00099,47,1271607,716,US,TRUE,756987,salaried,review,R3,Generated rule
R00100,54,1301089,823,IN,TRUE,1423959,unemployed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
